x,y,z
-26.161942,65.521774,-61.12248
-24.349606,67.5095,-57.439346
-24.349606,67.5095,-57.439346
-12.817889,68.26951,-49.868458
-12.817889,68.26951,-49.868458
1.7538732,69.43876,-45.36685
1.7538732,69.43876,-45.36685
11.5755625,71.26571,-42.926044
19.994154,71.67495,-51.56387
19.994154,71.67495,-51.56387
29.099678,64.06022,-68.722595
29.099678,64.06022,-68.722595
53.21543,22.318035,-71.16341
53.21543,22.318035,-71.16341
53.21543,22.318035,-71.16341
62.277115,3.4638994,-46.214558
62.277115,3.4638994,-46.214558
68.89798,13.943291,-18.854137
68.89798,13.943291,-18.854137
75.065765,52.20696,14.7763815
75.065765,52.20696,14.7763815
73.89652,90.33908,8.973985
73.89652,90.33908,8.973985
70.038,106.606255,-14.367144
70.038,106.606255,-14.367144
57.29319,109.67554,-38.468285
57.29319,109.67554,-38.468285
44.943,111.224785,-54.443146
44.943,111.224785,-54.443146
44.943,111.224785,-54.443146
27.375036,115.7264,-72.36188
27.375036,115.7264,-72.36188
2.8500438,115.96024,-94.95761
2.8500438,115.96024,-94.95761
-14.191757,107.07395,-115.79948
-14.191757,107.07395,-115.79948
-17.071033,85.32593,-125.62116
-17.071033,85.32593,-125.62116
-21.13417,72.75651,-146.59456
-21.13417,72.75651,-146.59456
-40.93832,118.69337,-204.92546
-40.93832,118.69337,-204.92546
-40.93832,118.69337,-204.92546
0.40923706,211.88249,-175.475
0.40923706,211.88249,-175.475
15.770243,275.56268,-33.19205
15.770243,275.56268,-33.19205
-22.873428,230.66354,298.74304
-22.873428,230.66354,298.74304
2.0023384,81.04356,241.24524
2.0023384,81.04356,241.24524
21.806488,22.449577,164.49869
21.806488,22.449577,164.49869
28.807365,9.763227,121.309555
28.807365,9.763227,121.309555
28.807365,9.763227,121.309555
52.016956,23.545746,92.00526
52.016956,23.545746,92.00526
56.182404,23.00497,47.763813
56.182404,23.00497,47.763813
52.908504,14.674072,14.17714
52.908504,14.674072,14.17714
51.169247,4.32622,-8.038585
51.169247,4.32622,-8.038585
46.448406,-5.8316283,-22.683426
