x,y,z
-22.50804,59.470917,-99.23999
-22.054955,60.990936,-99.04999
-20.491085,62.174805,-98.74306
-19.994154,59.95323,-97.98305
-21.777258,57.030106,-98.216896
-20.87109,54.881615,-98.56767
-20.812628,53.346973,-98.30459
-21.031862,51.549255,-97.83689
-20.681087,51.8708,-97.383804
-20.052616,51.256943,-98.81614
-19.789536,48.523823,-98.5969
-19.90646,48.66998,-99.04999
-19.731073,49.254604,-99.12306
-20.651855,46.258404,-99.50307
-20.73955,46.448406,-99.26922
-20.081848,46.828415,-98.80151
-19.46799,44.29991,-98.47997
-18.693365,40.865246,-99.415375
-16.28179,39.505993,-99.16691
-15.21485,38.000584,-99.839226
-14.893307,36.48056,-99.181526
-15.594855,35.457466,-99.23999
-16.354866,35.442852,-99.605385
-17.567963,34.361298,-99.26922
-19.161064,31.730488,-100.0
-21.10494,28.982752,-99.59076
-22.888044,26.322714,-100.08769
-24.96346,24.656532,-100.36539
-26.936567,23.662672,-100.21924
-27.19965,25.007307,-99.181526
-28.705057,26.410406,-99.9123
-30.385853,28.105816,-99.313065
-30.385853,28.105816,-99.313065
-31.993568,28.266588,-98.88921
-34.41976,27.93043,-98.58228
-35.647472,27.009645,-99.28383
-37.708275,25.460392,-98.56767
-41.84449,25.299622,-98.874596
-44.928383,26.9658,-98.84537
-48.012276,28.032738,-98.36305
-51.8708,28.281202,-98.39228
-52.908504,29.59661,-99.47384
-55.568546,30.181232,-100.17539
-57.22011,32.28588,-99.9123
-59.163986,32.72435,-99.313065
-59.675533,33.308975,-99.16691
-59.58784,34.91669,-99.47384
-60.8594,35.749783,-99.2546
-61.590176,35.72055,-99.97077
-63.88483,35.837475,-100.49693
-64.82023,35.93978,-101.19849
-66.793335,36.831337,-102.17773
-67.202576,38.132126,-101.91464
-66.8518,39.73984,-101.90003
-67.655655,41.50833,-102.92312
-71.104935,40.71909,-102.42619
-70.56416,44.329144,-101.695404
-68.181816,57.36627,-103.478516
-66.61795,63.08097,-103.90237
-64.99561,67.27565,-104.983925
-64.99561,67.27565,-104.983925
-65.390236,69.99415,-106.63549
-68.95644,68.25489,-105.6124
-69.27799,67.67027,-106.41625
-70.140305,68.298744,-106.270096
-73.648056,63.738674,-106.51857
-75.02192,63.75329,-106.86934
-74.188835,64.90792,-104.019295
-71.4411,67.30488,-102.850044
-69.08799,70.81263,-103.58082
-68.25489,72.02572,-103.7416
-67.26103,71.77726,-103.23005
-65.58024,72.87343,-104.22391
-64.92254,73.867294,-102.850044
-63.577904,75.9427,-102.323875
-62.204033,76.60041,-103.52236
-59.500145,77.24349,-102.33849
-49.444607,77.828125,-99.97077
-42.984505,78.32505,-100.59924
-40.587547,79.3043,-101.56387
-40.324467,79.991234,-102.22157
-41.63987,81.65741,-103.40544
-43.0722,84.68284,-104.42853
-40.967552,85.66209,-103.829285
-39.27214,84.22975,-102.92312
-37.138264,84.87284,-104.73546
-30.166616,79.771996,-103.610054
-32.139725,75.051155,-101.753876
-32.139725,75.051155,-101.753876
-32.475883,71.30956,-99.88307
-31.18971,68.12336,-100.14615
-30.619701,68.722595,-99.42999
-33.908215,63.13943,-98.6846
-33.79129,59.280914,-98.47997
-31.745104,50.263084,-102.47004
-29.158142,44.826077,-105.96317
-27.769657,35.048233,-110.12862
-26.23502,24.802689,-116.150246
