x,y,z
-13.987139,17.64104,-114.1333
-14.5133,17.743351,-114.001755
-14.5133,17.743351,-114.001755
-21.309559,18.181818,-108.988594
-21.309559,18.181818,-108.988594
-26.717335,17.84566,-104.06314
-26.717335,17.84566,-104.06314
-28.821981,15.2294655,-99.839226
-22.858814,11.458637,-101.53464
-22.858814,11.458637,-101.53464
-22.858814,11.458637,-101.53464
-5.203157,15.638701,-102.075424
-5.203157,15.638701,-102.075424
16.617949,20.330313,-94.153755
16.617949,20.330313,-94.153755
28.544287,25.504238,-83.58667
28.544287,25.504238,-83.58667
36.173634,31.62818,-72.71266
36.173634,31.62818,-72.71266
39.27214,34.741302,-61.867874
39.27214,34.741302,-61.867874
41.362175,32.738964,-50.33616
41.362175,32.738964,-50.33616
40.660625,30.72201,-37.255188
40.660625,30.72201,-37.255188
40.660625,30.72201,-37.255188
33.382053,40.529083,-22.332651
33.382053,40.529083,-22.332651
20.812628,50.4677,-11.663257
20.812628,50.4677,-11.663257
8.477054,58.316284,-6.211634
8.477054,58.316284,-6.211634
-9.938614,67.02719,-3.317743
-9.938614,67.02719,-3.317743
-33.45513,77.740425,-6.781643
-33.45513,77.740425,-6.781643
-65.43409,80.60509,-6.036247
-65.43409,80.60509,-6.036247
-65.43409,80.60509,-6.036247
-123.004974,68.94183,-3.8439054
-123.004974,68.94183,-3.8439054
-183.76205,27.784273,61.16633
-183.76205,27.784273,61.16633
-33.382053,31.028938,97.64689
-33.382053,31.028938,97.64689
25.650394,35.749783,24.978075
25.650394,35.749783,24.978075
27.287344,7.0447235,-11.838644
27.287344,7.0447235,-11.838644
25.694242,-11.25402,-36.15902
25.694242,-11.25402,-36.15902
25.694242,-11.25402,-36.15902
21.93803,-16.924875,-43.291435
21.93803,-16.924875,-43.291435
16.997953,-19.087986,-50.321545
16.997953,-19.087986,-50.321545
14.922537,-20.125694,-44.592224
14.922537,-20.125694,-44.592224
12.320959,-21.645718,-47.486115
12.320959,-21.645718,-47.486115
9.266296,-29.742765,-46.316864
9.266296,-29.742765,-46.316864
-0.7746273,-36.261326,-64.25022
-0.7746273,-36.261326,-64.25022
-21.54341,-45.571472,-57.263958
-21.54341,-45.571472,-57.263958
-21.54341,-45.571472,-57.263958
-21.397253,-48.363052,-51.680798
-21.397253,-48.363052,-51.680798
-27.798887,-47.42765,-34.85823
-27.798887,-47.42765,-34.85823
-25.708857,-43.189125,-29.976616
-25.708857,-43.189125,-29.976616
-18.78106,-34.68284,-19.64338
-18.78106,-34.68284,-19.64338
-10.844782,-26.161942,-17.085648
-10.844782,-26.161942,-17.085648
-0.92078334,-20.798012,-20.16954
-0.92078334,-20.798012,-20.16954
-0.92078334,-20.798012,-20.16954
15.2294655,-23.048817,-58.813213
15.2294655,-23.048817,-58.813213
24.02806,-6.35779,-79.231224
24.02806,-6.35779,-79.231224
29.976616,-2.3238819,-76.32271
29.976616,-2.3238819,-76.32271
31.774336,-8.886291,-65.05408
31.774336,-8.886291,-65.05408
31.16048,-15.960245,-57.249344
31.16048,-15.960245,-57.249344
38.629055,-13.519439,-51.198483
38.629055,-13.519439,-51.198483
38.629055,-13.519439,-45.30839
42.560654,-11.473253,-45.30839
42.560654,-11.473253,-45.30839
44.40222,-7.1178017,-44.884537
44.40222,-7.1178017,-44.884537
45.118385,-3.5808244,-51.95849
45.118385,-3.5808244,-51.95849
44.329144,-2.060801,-47.223034
44.329144,-2.060801,-47.223034
41.21602,-4.7062263,-33.981293
41.21602,-4.7062263,-33.981293
34.72669,-8.184741,-24.948845
34.72669,-8.184741,-24.948845
26.746565,-9.646302,-14.878691
26.746565,-9.646302,-14.878691
26.746565,-9.646302,-14.878691
12.832504,-20.681087,-15.770243
12.832504,-20.681087,-15.770243
-4.1946797,-28.515053,-13.534054
-4.1946797,-28.515053,-13.534054
-20.081848,-37.269802,-23.618824
-20.081848,-37.269802,-23.618824
-31.86203,-46.389942,-40.77755
-31.86203,-46.389942,-40.77755
-34.98977,-48.289974,-63.066357
-34.98977,-48.289974,-63.066357
-17.684887,-53.08389,-61.35633
-17.684887,-53.08389,-61.35633
-17.684887,-53.08389,-61.35633
-8.389359,-53.4639,-50.613857
-8.389359,-53.4639,-50.613857
-15.594855,-51.344635,-33.747444
-15.594855,-51.344635,-33.747444
-18.81029,-47.79304,-23.531132
-18.81029,-47.79304,-23.531132
-26.220402,-46.84303,-23.194971
-26.220402,-46.84303,-23.194971
-23.618824,-46.419178,-26.980415
-23.618824,-46.419178,-26.980415
-20.242619,-43.33528,-33.265125
-20.242619,-43.33528,-33.265125
-29.786613,-42.151417,-43.802982
-29.786613,-42.151417,-43.802982
-29.786613,-42.151417,-43.802982
-29.976616,-36.129787,-65.33177
-29.976616,-36.129787,-65.33177
-31.525867,-21.601871,-80.532005
-31.525867,-21.601871,-80.532005
-25.635778,-19.029524,-83.71821
-25.635778,-19.029524,-83.71821
-27.95966,-14.220989,-89.973694
-27.95966,-14.220989,-89.973694
-36.81672,1.7684888,-98.772285
-36.81672,1.7684888,-98.772285
-46.083015,22.990353,-105.057
-46.083015,22.990353,-105.057
-46.083015,22.990353,-105.057
-46.492256,43.379128,-105.53932
-46.492256,43.379128,-105.53932
-35.9544,54.23853,-112.30634
-35.9544,54.23853,-112.30634
-31.511253,64.06022,-114.791
-31.511253,64.06022,-114.791
-29.011986,86.46594,-100.730774
-29.011986,86.46594,-100.730774
-25.387314,102.87927,-61.984802
-25.387314,102.87927,-61.984802
-14.7763815,101.73925,-30.473545
-14.7763815,101.73925,-30.473545
-14.7763815,101.73925,-30.473545
11.400175,96.24379,-17.816427
11.400175,96.24379,-17.816427
39.330605,74.612686,-8.696288
39.330605,74.612686,-8.696288
55.70009,44.022213,-12.978661
55.70009,44.022213,-12.978661
57.42473,25.884243,-29.333529
57.42473,25.884243,-29.333529
53.376205,17.626425,-49.093834
53.376205,17.626425,-49.093834
47.26688,7.1762643,-62.496346
47.26688,7.1762643,-62.496346
41.68372,7.6293483,-72.14265
41.68372,7.6293483,-72.14265
41.68372,7.6293483,-72.14265
36.55364,8.038585,-81.61356
36.55364,8.038585,-81.61356
29.231218,10.903244,-91.08448
29.231218,10.903244,-91.08448
19.950306,13.957908,-100.42385
19.950306,13.957908,-100.42385
9.310143,22.66881,-107.60011
9.310143,22.66881,-107.60011
-0.7746273,24.875767,-111.07863
-0.7746273,24.875767,-111.07863
-3.6831334,28.807365,-112.86174
-3.6831334,28.807365,-112.86174
-3.6831334,28.807365,-112.86174
-9.923999,9.82169,-114.61561
-9.923999,9.82169,-114.61561
-11.020169,5.7731657,-114.2356
-11.020169,5.7731657,-114.2356
-17.319498,14.586379,-116.07717
-17.319498,14.586379,-116.07717
-27.652735,5.8316283,-110.90324
-27.652735,5.8316283,-110.90324
-36.831337,17.11488,-109.032455
-36.831337,17.11488,-109.032455
-43.291435,23.384975,-106.12394
-43.291435,23.384975,-106.12394
-56.474716,39.38907,-94.12453
-56.474716,39.38907,-94.12453
-56.474716,39.38907,-94.12453
-58.827827,44.05145,-90.5437
-58.827827,44.05145,-90.5437
-66.28179,39.257526,-85.457466
-66.28179,39.257526,-85.457466
-73.16574,40.631397,-79.348145
-73.16574,40.631397,-79.348145
-78.86583,35.442852,-70.988014
-78.86583,35.442852,-70.988014
-78.3689,33.995907,-62.13096
-78.3689,33.995907,-62.13096
-69.74569,31.993568,-59.280914
-69.74569,31.993568,-59.280914
-69.74569,31.993568,-59.280914
-60.684013,30.999708,-49.95615
-60.684013,30.999708,-49.95615
-53.785442,27.331188,-46.053783
-53.785442,27.331188,-46.053783
-52.703888,20.5057,-42.692196
-52.703888,20.5057,-42.692196
-58.067818,20.30108,-44.0076
-58.067818,20.30108,-44.0076
-62.02865,24.948845,-54.53084
-62.02865,24.948845,-54.53084
-60.47939,26.878107,-69.36568
-60.47939,26.878107,-69.36568
-60.47939,26.878107,-69.36568
-55.817013,27.696579,-81.04356
-55.817013,27.696579,-81.04356
-40.163696,30.268929,-93.89067
-40.163696,30.268929,-93.89067
-22.80035,46.594563,-97.71997
-22.80035,46.594563,-97.71997
-4.311605,50.131542,-96.22917
-4.311605,50.131542,-96.22917
1.5931014,52.002342,-94.577614
1.5931014,52.002342,-94.577614
20.695704,44.153755,-86.91903
20.695704,44.153755,-86.91903
36.100555,25.518856,-73.10728
36.100555,25.518856,-73.10728
36.100555,25.518856,-73.10728
40.119846,28.909674,-49.7223
40.119846,28.909674,-49.7223
40.894474,27.72581,-42.96989
40.894474,27.72581,-42.96989
41.84449,26.746565,-36.290558
41.84449,26.746565,-36.290558
42.31219,21.70418,-26.76118
42.31219,21.70418,-26.76118
50.204617,23.297281,-29.435837
50.204617,23.297281,-29.435837
52.30927,22.43496,-43.08682
52.30927,22.43496,-43.08682
52.30927,22.43496,-43.08682
49.283836,23.165741,-49.225372
49.283836,23.165741,-49.225372
45.059925,20.16954,-61.38556
45.059925,20.16954,-61.38556
35.603626,18.488745,-82.09588
35.603626,18.488745,-82.09588
16.866413,17.100262,-101.28617
16.866413,17.100262,-101.28617
-15.653318,18.254896,-109.01782
-15.653318,18.254896,-109.01782
-36.1444,28.734287,-105.32008
-36.1444,28.734287,-105.32008
-56.357788,39.169834,-89.57907
-56.357788,39.169834,-89.57907
-56.357788,39.169834,-89.57907
-67.17335,38.994446,-72.44958
-67.17335,38.994446,-72.44958
-71.20725,31.175095,-60.143234
-71.20725,31.175095,-60.143234
-72.24496,24.817305,-46.696873
-72.24496,24.817305,-46.696873
-69.51183,23.721134,-33.86437
-69.51183,23.721134,-33.86437
-63.81175,22.098803,-22.43496
-63.81175,22.098803,-22.43496
-54.79392,20.14031,-13.227126
-54.79392,20.14031,-13.227126
-54.79392,20.14031,-13.227126
-47.719963,27.681965,-10.494008
-47.719963,27.681965,-10.494008
-43.3499,32.51973,-14.337913
-43.3499,32.51973,-14.337913
-46.375328,32.139725,-27.111956
-46.375328,32.139725,-27.111956
-50.73078,28.86583,-43.14528
-50.73078,28.86583,-43.14528
-52.83543,30.268929,-57.965504
-52.83543,30.268929,-57.965504
-52.133877,28.968138,-71.86495
-52.133877,28.968138,-71.86495
-52.133877,28.968138,-71.86495
-45.49839,23.881907,-86.36364
-45.49839,23.881907,-86.36364
-32.12511,20.359545,-98.47997
-32.12511,20.359545,-98.47997
-16.106401,27.521193,-104.15083
-16.106401,27.521193,-104.15083
4.589301,29.815844,-104.340836
4.589301,29.815844,-104.340836
25.986553,21.83572,-93.24759
25.986553,21.83572,-93.24759
40.485237,25.32885,-74.86115
40.485237,25.32885,-74.86115
46.22917,21.762642,-49.47384
46.22917,21.762642,-49.47384
46.22917,21.762642,-49.47384
