x,y,z
-7.79012,51.5931,0.68693364
-1.2130957,51.008476,-0.7307805
-1.2130957,51.008476,-0.7307805
12.744811,46.550716,-4.750073
12.744811,46.550716,-4.750073
24.56884,46.813797,-14.7763815
24.56884,46.813797,-14.7763815
36.202866,44.855305,-29.508915
36.202866,44.855305,-29.508915
39.769073,46.17071,-42.31219
39.769073,46.17071,-42.31219
39.929848,48.53844,-45.96609
39.929848,48.53844,-45.96609
39.929848,48.53844,-45.96609
37.693657,51.154633,-49.444607
37.693657,51.154633,-49.444607
37.372112,48.17305,-69.95031
37.372112,48.17305,-69.95031
37.503654,38.278282,-80.838936
37.503654,38.278282,-80.838936
32.19819,18.854137,-91.9468
32.19819,18.854137,-91.9468
22.844198,15.34639,-101.14002
22.844198,15.34639,-101.14002
22.844198,15.34639,-101.14002
19.599531,15.536393,-102.850044
19.599531,15.536393,-102.850044
10.479392,12.71558,-106.73779
10.479392,12.71558,-106.73779
3.9315991,0.19000292,-106.32856
3.9315991,0.19000292,-106.32856
0.9500146,9.295527,-109.807076
0.9500146,9.295527,-109.807076
0.9500146,9.295527,-109.807076
-3.069278,8.667056,-112.77404
-3.069278,8.667056,-112.77404
-9.251681,4.4869924,-112.84712
-9.251681,4.4869924,-112.84712
-15.01023,-8.681672,-109.33938
-15.01023,-8.681672,-109.33938
-20.827244,-26.220402,-97.705345
-20.827244,-26.220402,-97.705345
-29.05583,-38.51213,-79.88892
-29.05583,-38.51213,-79.88892
-29.05583,-38.51213,-79.88892
-33.557438,-42.356033,-74.101135
-33.557438,-42.356033,-74.101135
-43.27682,-32.709732,-95.27916
-43.27682,-32.709732,-95.27916
-46.784565,-28.398129,-103.01082
-46.784565,-28.398129,-103.01082
-49.56153,-32.28588,-103.39082
-49.56153,-32.28588,-103.39082
-49.56153,-32.28588,-103.39082
-44.519146,-28.66121,-111.16632
-44.519146,-28.66121,-111.16632
-30.25431,-16.208712,-121.631096
-30.25431,-16.208712,-121.631096
-12.028646,-2.7769659,-124.65653
-12.028646,-2.7769659,-124.65653
4.7062263,10.040924,-120.87109
4.7062263,10.040924,-120.87109
17.319498,19.380299,-113.5779
17.319498,19.380299,-113.5779
17.319498,19.380299,-113.5779
27.842735,16.691027,-102.99619
27.842735,16.691027,-102.99619
33.498974,16.135633,-96.91611
33.498974,16.135633,-96.91611
37.752117,22.478807,-89.18445
37.752117,22.478807,-89.18445
39.783688,33.133587,-82.41742
39.783688,33.133587,-82.41742
39.783688,33.133587,-82.41742
37.138264,45.49839,-77.56504
