mag_x_ut,mag_y_ut,mag_z_ut
968.6846051441236,195.14110925033626,221.11976419754396
992.329615730528,135.2630670405099,195.91418096181545
992.329615730528,135.2630670405099,195.91418096181545
1014.9930179835836,33.71465033745182,67.59492855594083
1014.9930179835836,33.71465033745182,67.59492855594083
1001.6166705371475,-70.71839634286219,-14.560456944774472
1001.6166705371475,-70.71839634286219,-14.560456944774472
902.1204382996171,-286.5411258273578,-123.58697259131927
771.3160534602007,-376.09115225279623,-378.8460241733811
771.3160534602007,-376.09115225279623,-378.8460241733811
480.51013951322284,-437.91225959624296,-675.7118491101113
480.51013951322284,-437.91225959624296,-675.7118491101113
173.68875954397376,-452.5872401673662,-816.8756986385466
173.68875954397376,-452.5872401673662,-816.8756986385466
-242.37489950501455,-427.1058701229388,-834.990751246866
-242.37489950501455,-427.1058701229388,-834.990751246866
-444.39442994873104,-403.3803092777461,-816.8128719687813
-444.39442994873104,-403.3803092777461,-816.8128719687813
-592.1958220537412,-396.93783465195025,-732.7999094475812
-592.1958220537412,-396.93783465195025,-732.7999094475812
-597.2459261403845,-449.78624387011007,-728.454259465378
-561.1133556990854,-446.7342683722164,-728.2773360921668
-561.1133556990854,-446.7342683722164,-728.2773360921668
-561.9446818254163,-514.302686551253,-696.7211808522612
-561.9446818254163,-514.302686551253,-696.7211808522612
-641.0154450527923,-517.3131987012082,-630.7044727042428
-641.0154450527923,-517.3131987012082,-630.7044727042428
-731.4442419674268,-532.5116954385842,-547.215618032315
-731.4442419674268,-532.5116954385842,-547.215618032315
-771.3258815958745,-576.2292443788643,-417.4685930369914
-771.3258815958745,-576.2292443788643,-417.4685930369914
-820.9977263352014,-616.4029162895138,-299.08421143739776
-820.9977263352014,-616.4029162895138,-299.08421143739776
-829.7732229131974,-647.4767786836385,-238.19941958098815
-829.7732229131974,-647.4767786836385,-238.19941958098815
-832.3720720330983,-686.8231334816954,-152.74515602203826
-832.3720720330983,-686.8231334816954,-152.74515602203826
-850.676114951924,-708.6575596709115,3.1950628004956876
-850.676114951924,-708.6575596709115,3.1950628004956876
-826.1379671458353,-683.213819650843,160.97440191219843
-826.1379671458353,-683.213819650843,160.97440191219843
-847.9609193102009,-646.6210922171327,256.98724608501334
-847.9609193102009,-646.6210922171327,256.98724608501334
-855.0954153100575,-618.1543344760589,424.51956514029746
-855.0954153100575,-618.1543344760589,424.51956514029746
